sentence,word,answer_english,answer_chinese,GPT-3.5,GPT-4,Ernie-3.5,Ernie-4.0
两人早就成为了英国洞穴协会的惠缘,惠缘,member,会员,N,Y,Y,Y
两人每次都能话藓围疑,话藓围疑,turn danger into safety,化险为夷,N,N,N,N
曾有无数探险家来这个洞穴追求次基,次基,excitement,刺激,N,N,N,N
莫斯带着队友记絮前进,记絮,continue,继续,N,N,N,Y
爬上斜坡后可以看到前往纪念堂的稻露,稻露,road,道路,N,Y,Y,Y
这些规则同样适用于洞穴探险等集线运动,集线,extreme,极限,Y,N,Y,Y
病人来时呼吸十分籍醋,籍醋,hasty,急促,N,Y,N,Y
病人的雪鸭正常,雪鸭,blood pressure,血压,N,Y,N,Y
这位衣声平日里工作非常认真,衣声,doctor,医生,N,N,Y,Y
两个星期之后，枕段结果公布,枕段,diagnosis,诊断,N,N,N,Y
医生们决定立刻让病人溪养,溪养,oxygen inhalation,吸氧,N,N,N,N
她得知男朋友有比较严重的费研,费研,pneumonia,肺炎,Y,Y,Y,Y
此时病人已经十分需若,需若,weak,虚弱,N,Y,Y,Y
看着诊断报告，他感到十分厚毁,厚毁,regret,后悔,Y,N,Y,Y
老虎的习性十分胸蚕,胸蚕,cruel,凶残,N,Y,N,N
旧缘人员在十分钟之后赶到,旧缘,rescue,救援,N,Y,N,Y
这场惨剧的音颖至今仍未完全消除,音颖,shadow,阴影,N,Y,N,N
这支部队已经严重缺少但要,但要,ammunition,弹药,N,Y,N,Y
她的手臂上留下了明显的商巴,商巴,scar,伤疤,N,Y,Y,Y
苏联秘密同意对日本轩站,轩站,declare war,宣战,N,Y,N,Y
这样做能得到什么郝矗呢,郝矗,benefit,好处,N,Y,N,Y
二人商量如何刮芬所得的利润,刮芬,divide up,瓜分,N,Y,N,Y
这条铁路全长三千工李,工李,kilometer,公里,Y,Y,Y,Y
这座城市东纪平均气温为零度,东纪,winter,冬季,N,Y,N,N
三千名站芙负责修建这条铁路,站芙,prisoner of war,战俘,N,N,N,N
战俘们被强迫参与牢洞,牢洞,labor,劳动,N,Y,N,N
西伯利亚就是一座天然间欲,间欲,prison,监狱,N,N,Y,N
二战受害者对酥莲此举喜闻乐见,酥莲,Soviet Union,苏联,N,Y,N,N
一部分人负责种植钍逗,钍逗,potato,土豆,N,N,N,Y
此时这个国家摆费带星,摆费带星,everything remains to be done,百废待兴,N,Y,Y,Y
小队花了两个月收集足够的速财,速财,material,素材,N,Y,Y,N
就连看守的日常尹石也十分匮乏,尹石,diet,饮食,N,N,N,N
他入狱的第一餐，竟然是蛮投,蛮投,bun,馒头,N,N,Y,Y
战争让所有人认识到了攻液的重要性,攻液,industry,工业,N,N,N,N
但愿西伯利亚的苦难永远成为立矢,立矢,history,历史,N,Y,Y,N
她的身上盖着两条眠背,眠背,quilt,棉被,Y,Y,Y,Y
案发现场发现了项链、膏根邪等物品,膏根邪,high heels,高跟鞋,N,Y,N,N
几名民警言揪了一番，但没有得出结论,言揪,study,研究,N,Y,Y,Y
这个凶手简直就是遍钛,遍钛,pervert,变态,N,N,Y,Y
汤老师平时从来不呵久,呵久,drink alcohol,喝酒,N,N,N,N
此案仍然有很多疑点需要姐市,姐市,explain,解释,N,Y,Y,Y
此案让汤老师的铭升被彻底败坏,铭升,reputation,名声,N,Y,N,Y
队长在会议上提出了两点忆箭,忆箭,suggestion,意见,Y,Y,N,Y
窃贼迅速从疮护进入了二楼阳台,疮护,window,窗户,Y,Y,Y,Y
这是一辆从北京开往审羊的火车,审羊,Shenyang,沈阳,N,N,N,Y
此人是此案的第一闲移仁,闲移仁,suspect,嫌疑人,N,N,N,Y
男人的情绪立刻变得蝎丝抵礼,蝎丝抵礼,hysterical,歇斯底里,N,N,Y,Y
他是一个极端字斯的人,字斯,selfish,自私,N,Y,Y,Y
这一次他更加从容地玩弄着裂悟,裂悟,prey,猎物,N,N,N,N
他的童年生活并不性芙,性芙,well-being,幸福,N,Y,Y,Y
最近小区内的范最事件明显增多,范最,crime,犯罪,N,Y,Y,Y
他要求手下必须勇敢以及中城,中城,loyalty,忠诚,Y,Y,Y,N
四名站市被派遣驻守此地,站市,soldier,战士,Y,Y,Y,Y
他十分热衷于这种疯狂的竟塞,竟塞,competition,竞赛,Y,Y,Y,Y
幸好事后店主表示笋师并不大,笋师,loss,损失,Y,Y,Y,N
专家们仔细调查了当地的狙旻,狙旻,resident,居民,N,N,N,N
向东大约600米还有一个倒与,倒与,island,岛屿,N,N,N,Y
这个肿卒仍处于石器时代的水平,肿卒,race,种族,N,N,N,N
