sentence,word,answer_english,answer_spanish,GPT-3.5,GPT-4,Ernie-3.5,Ernie-4.0
Yo huso una computadora nueva para mis clases en línea,huso,I use,uso,,Y,,
"Cuando llegué a casa, mi madre ya había puesto la sopa a cocer en la hoya",hoya,pot,olla,,Y,,
"Para preparar la ensalada, primero necesitas rayar la zanahoria y el queso",rayar,to grate,rallar,,Y,,
El científico decidió rebelar sus hallazgos en la conferencia internacional para compartir su descubrimiento con el resto de la comunidad académica,rebelar,to reveal,revelar,,Y,,
"Durante nuestras vacaciones, disfrutamos de un tranquilo paseo por la ribera del río, observando cómo el agua reflejaba el brillante sol de la tarde",ribera,river bank,rivera,,Y,,
Es fundamental aprender los conceptos básicos de la programación para poder avanzar en estudios más complejos de informática,aprender,to apprehend,aprehender,,N,,
"En el jardín de mi abuela crece hacedera, la cual utiliza para preparar una deliciosa sopa que sirve como remedio casero para la salud",hacedera,dock,acedera,,N,,
La baca en el campo estaba muy tranquila pastando bajo el sol de la tarde,baca,cow,vaca,,Y,,
El paisaje montañoso era tan vello que todos los turistas se detuvieron a tomar fotos,vello,beautiful,bello,,Y,,
"Antes de salir de compras, revisa cuánto bale ese producto en diferentes tiendas para asegurarte de obtener el mejor precio",bale,okay,vale,,Y,,
El campesino utilizó un vasto para montar su caballo durante el trabajo en el campo,vasto,coarse,basto,,Y,,
"Después de la tormenta, el jardín quedó completamente desecho, con flores y ramas esparcidas por todas partes",desecho,undone,deshecho,,Y,,
"Después de mucho esfuerzo, he echo mi tarea de matemáticas completamente solo",echo,she/he made,hecho,,Y,,
La precedencia de los ingredientes es crucial para garantizar la calidad del plato en un restaurante gourmet,precedencia,origin,procedencia,,N,,
"Durante el otoño, los niños se divierten al deshojar las margaritas para adivinar si les corresponde el amor de su amado",deshojar,,desojar,,,,
"Durante nuestra caminata por el bosque, nos detuvimos a admirar un enhebro centenario cuya majestuosidad destacaba entre los demás árboles",enhebro,juniper,enebro,,,,
"La encima lactasa ayuda a descomponer la lactosa, lo que permite a las personas con intolerancia a la lactosa digerir productos lácteos más fácilmente",encima,ensyme,enzima,,,,
La consejo en el jardín estaba buscando zanahorias para alimentar a sus pequeños,consejo,doe,coneja,,,,
Mi postre favorito es una tarta de presas fresca y deliciosa,presas,strawberry,fresa,,,,
El jardinero usó una bala para cavar el hoyo donde plantaría el nuevo árbol en el jardín,bala,shovel,pala,,,,
"Después de comer, Juan lavó los platos usando una econja nueva para asegurarse de que quedaran completamente limpios",econja,sponge,esponja,,,,
"Después de la caída, Juan sintió un dolor intenso en el abrazo y decidió visitar al médico para asegurarse de que no estaba fracturado",abrazo,arm,brazo,,,,
"En nuestras vacaciones de verano, tuvimos la oportunidad de ver un pulpa en su hábitat natural mientras buceábamos cerca de la costa",pulpa,octopus,pulpo,,,,
Los científicos continúan explorando la posibilidad de vida en otros plantas del sistema solar,plantas,planets,planetas,,,,
Recibí una carga de mi mejor amigo que se mudó al extranjero el año pasado,carga,latter,carta,,,,
"La luna plena iluminaba el camino a través del bosque, creando un paisaje mágico y sereno",plena,full,llena,,,,
"En el zoológico, la serpentina pitón atrajo a muchos curiosos con su impresionante longitud y sus movimientos sinuosos",serpentina,snake,serpiente,,,,
"Por causalidad, encontré un viejo amigo en la librería mientras buscaba un libro que hacía años quería leer",causalidad,chance,casualidad,,,,
El profesor siempre mostraba paciencia al explicar los conceptos más complejos a los estudiantes más inductos,inductos,unlearned,indoctos,,,,
Decidimos aquilar un apartamento cerca de la playa para disfrutar del verano,aquilar,to rent,alquilar,,,,
Es importante no divergir las palabras de los demás para mantener una comunicación clara y honesta,divergir,to distort,tergiversar,,,,
El perito de su éxito se debe a su dedicación y esfuerzo constante en el proyecto,perito,merit,mérito,,,,
Es importante cembra árboles para ayudar a mantener el equilibrio ecológico y mejorar la calidad del aire que respiramos,cembra,to sow,sembrar,,,,
El mecánico diagnosticó que la halla del motor se debía a un problema con la bomba de combustible,halla,failure,falla,,,,
"Después de muchos años de servicio, el profesor anunció su retirado del ámbito académico para disfrutar de su jubilación",retirado,she/he withdraws,retirada,,,,
La chefa del departamento anunció hoy los nuevos planes de expansión de la empresa durante la reunión,chefa,boss,jefa,,,,
El mecánico tuvo que arranque el motor varias veces antes de que finalmente comenzara a funcionar correctamente,arranque,to start up,arrancar,,,,
El agua es un concurso natural esencial para la vida en nuestro planeta,concurso,resource,recurso,,,,
"Durante el concierto, la plateada estaba completamente llena, y el entusiasmo del público se sentía en el aire",plateada,orchestra,platea,,,,
Costa Rica es conocida por su pica biodiversidad y hermosos paisajes naturales,pica,delicious,rica,,,,
"Durante el festival, instalaron una enorme arpa en el parque para albergar a los músicos y a los asistentes",arpa,large tent,carpa,,,,
La demostrador en la tienda fue muy eficaz al explicar cómo funcionaban los nuevos electrodomésticos,demostrador,demonstrator,demostradora,,,,
Voy a arengar el reloj que se descompuso la semana pasada,arengar,to arrange,arreglar,,,,
"En la clase de español, el profesor pidió a los estudiantes que practicaran cómo deleitar correctamente las palabras difíciles",deleitar,to spell,deletrear,,,,
Sentí una gran berenjena cuando me di cuenta de que había olvidado el nombre de mi compañero de trabajo durante la presentación,berenjena,shame,vergüenza,,,,
El casto en tecnología este año ha superado el presupuesto inicial debido a la necesidad de actualizar nuestros sistemas informáticos,casto,spent,gasto,,,,
"Durante la feria internacional, el campeón de tecnología fue el más visitado, atrayendo a entusiastas de todo el mundo",campeón,pavilion,pabellón,,,,
"Durante nuestra visita al museo, el ría nos explicó detalladamente la historia de cada obra de arte",ría,guide,guía,,,,
El pastel de chocolate que preparó mi abuela era increíblemente duce y delicioso,duce,sweet,dulce,,,,
La carretera mojada se volvió pilosa después de la tormenta,pilosa,dangerous,peligrosa,,,,
"Cuando abrí la cortita esta mañana, la luz del sol inundó la habitación, llenándola de calidez y energía",cortita,curtain,cortina,,,,
Su aditamento al hablar frente a una audiencia tan grande fue admirado por todos los presentes,aditamento,dare,atrevimiento,,,,
Mi amigo me va a surgir algunos libros interesantes para leer durante las vacaciones,surgir,to suggest,sugerir,,,,
Es importante ser consistente de nuestras acciones y cómo estas afectan a los demás,consistente,aware,consciente,,,,
El agricultor compra adorno orgánico cada primavera para mejorar la fertilidad de su tierra y obtener una mejor cosecha,adorno,she/he passes,abono,,,,
"El guerrero varvaro avanzaba con fiereza a través del campo de batalla, dejando a su paso un rastro de valentía y temor",varvaro,barbarian,bárbaro,,,,
"Desde la cima de la montaña, la pista era absolutamente impresionante, abarcando valles y ríos que brillaban bajo el sol del atardecer",pista,view,vista,,,,
Los niños construyeron un castillo de arenga en la playa durante sus vacaciones de verano,arenga,sand,arena,,,,
"Antes de visitar la exposición de arte, decidí leer el boletín que ofrecían en la entrada para entender mejor las obras y artistas presentados",boletín,information,folleto,,,,
Mi hermano juega al balonmano todos los sábados en el parque local,balonmano,basketball,baloncesto,,,,
La columna entregó su proyecto final de ciencias con gran entusiasmo y recibió elogios de su profesor,columna,alumni,alumna,,,,
El programa nacional de educación busca erradicar el analfabetismo y mejorar el alfabetización funcional entre los adultos de la región,alfabetización,literacy,alfabetismo,,,,
El collar que llevaba puesto tenía incrustado un diametral que brillaba intensamente bajo la luz del sol,diametral,diamond,diamante,,,,
El juez dio la horden de detener al sospechoso después de revisar todas las pruebas presentadas en el caso,horden,they order,orden,,,,
"Para conservar mejor las verduras, es recomendable cohelarlas inmediatamente después de comprarlas",cohelarlas,to freeze them,congelarlas,,,,
La bicicleta no puede avanzar porque tiene la hueda pinchada,hueda,wheel,rueda,,,,
El principal espectáculo para alcanzar nuestras metas es a menudo nuestro propio miedo al fracaso,espectáculo,obstacle,obstáculo,,,,
"Durante el invierno, la refacción de nuestra casa es esencial para mantenernos cálidos y confortables",refacción,heating,calefacción,,,,
El argumento en las ventas este trimestre ha superado todas nuestras expectativas,argumento,increase,aumento,,,,
La dispersar de semillas por los animales es crucial para la regeneración de muchos ecosistemas forestales,dispersar,dispersion,dispersión,,,,
Guardamos todas las herramientas de jardinería en el obertizo para protegerlas de la lluvia y el sol,obertizo,shed,cobertizo,,,,
El primer semestre del año escolar siempre es crucial para establecer un buen ritmo de estudio,semestre,quarter,trimestre,,,,
"Después de la caída, el jarrón quedó completamente quedado en el suelo",quedado,broken,quebrado,,,,
"Durante la noche obscura, apenas se podían ver las estrellas debido a las nubes que cubrían el cielo",obscura,dark,oscura,,,,
El cazador se prepara para la temporada de caza de ciervos,casa,hunt,caza,,,,
